iter	RMSE
143	0.2500592042
144	0.2499911447
145	0.2499195267
146	0.249895374
147	0.2498314231
148	0.2497769725
149	0.2497012657
150	0.2496164819
151	0.2495609369
152	0.2494857849
153	0.249400401
154	0.2493106328
155	0.2492432544
156	0.2491785267
157	0.2491034268
158	0.2490303158
159	0.2489751801
160	0.2489287279
161	0.248884479
162	0.2488000583
163	0.2486970413
164	0.2486043516
165	0.2485308751
166	0.2484917209
167	0.2484283201
168	0.2483490712
169	0.2483080673
170	0.2482364776
171	0.2482102331
172	0.2481606975
173	0.2480939824
174	0.2480312703
175	0.2479549208
176	0.2479046664
177	0.2478440358
178	0.2477636562
179	0.2477191585
180	0.2476821417
181	0.2476285703
182	0.2475609608
183	0.2474634577
184	0.247389416
185	0.2472911928
186	0.2472331497
187	0.247196348
188	0.2471313843
189	0.2470465404
190	0.247006285
191	0.2469017348
192	0.2468202837
193	0.2468011868
194	0.246727744
195	0.246617714
196	0.2465603274
197	0.2464721682
198	0.2464014752
199	0.2463433635
200	0.246255841
201	0.2461567798
202	0.2461154705
203	0.2460692876
204	0.2460040718
205	0.2459530483
206	0.2458630057
207	0.2458175627
208	0.2457895005
209	0.2457033262
210	0.2456323585
211	0.2455798
212	0.2454946421
213	0.245433072
214	0.2453534966
215	0.2453035967
216	0.2452680773
217	0.2452090472
218	0.2451154191
219	0.2450740874
220	0.2450258855
221	0.2450013438
222	0.2449643486
223	0.2449166767
224	0.2448635483
225	0.2448045692
226	0.2447504269
227	0.2447163941
228	0.2446544102
229	0.2445804181
230	0.2444995792
231	0.2444404457
232	0.244393521
233	0.2443589074
234	0.2443147499
235	0.2442848068
236	0.2442355725
237	0.244187682
238	0.2441166589
239	0.2440730643
240	0.2440458401
241	0.2439930935
242	0.2439052633
243	0.2438734864
244	0.2437897935
245	0.2437572277
246	0.2437314907
247	0.2436518255
248	0.2435973314
249	0.2435261446
250	0.2434930894
251	0.2434520985
252	0.2434096124
253	0.2433603731
254	0.2433170292
255	0.2432772696
256	0.2432314487
257	0.2431481313
258	0.2431080557
259	0.2430670744
260	0.2430127736
261	0.2429831526
262	0.2429163266
263	0.2428531586
264	0.2428041874
265	0.2427379673
266	0.2426412418
267	0.2425681879
268	0.2425325954
269	0.2424489316
270	0.2423479384
271	0.2422569785
272	0.2421925606
273	0.242139214
274	0.2420884918
275	0.2420520158
276	0.2419738684
277	0.2419039253
278	0.2418301447
279	0.2417804999
280	0.2416992774
281	0.2416486844
282	0.2415672577
283	0.2415329906
284	0.2414717896
285	0.2414319098
286	0.2413996327
287	0.2413018771
288	0.2412426061
289	0.2412089328
290	0.2411086697
291	0.2410623111
292	0.2409819725
293	0.2409356525
294	0.2408734968
295	0.2408408127
296	0.2407898786
297	0.2406971511
298	0.2406288625
299	0.240554005
300	0.240473494
301	0.2403996508
302	0.2403593283
303	0.2402813173
304	0.2402223768
305	0.2401714458
306	0.2401217471
307	0.2400745451
308	0.2399988129
309	0.2399464304
310	0.2398767536
311	0.2397963182
312	0.2397563323
313	0.2397145461
314	0.2396484977
315	0.239599719
316	0.2395526545
317	0.2394869208
318	0.2394317955
319	0.2393589638
320	0.2392987152
321	0.239234663
322	0.2391874235
323	0.2391359322
324	0.2390741443
325	0.2390518616
326	0.2390043962
327	0.238932441
328	0.2388650918
329	0.2387733904
330	0.2387471586
331	0.2386578914
332	0.238604536
333	0.2385432899
334	0.2384780322
335	0.2384060362
336	0.2383457442
337	0.2382792173
338	0.2382464101
339	0.2382037306
340	0.2381288829
341	0.2380625936
342	0.2379983149
343	0.2379567749
344	0.2379231307
345	0.2378653041
346	0.237841813
347	0.2377692667
348	0.2377051624
349	0.2376743708
350	0.2376059913
351	0.237569689
352	0.2375308484
353	0.2374810241
354	0.2373844137
355	0.2372934798
356	0.2372620447
357	0.2371929489
358	0.2371553626
359	0.2371212809
360	0.2370427566
361	0.2369763613
362	0.236896564
363	0.2368257412
364	0.2367746429
365	0.2366877561
366	0.2366103619
367	0.2365446669
368	0.2364984344
369	0.2364345739
370	0.2363814218
371	0.2363438057
372	0.23629723
373	0.2362549828
374	0.236199386
375	0.2361380828
376	0.2360868813
377	0.2360364226
378	0.2359758241
379	0.2359162154
380	0.2358520763
381	0.2358188615
382	0.2357513539
383	0.2356969028
384	0.2356441311
385	0.2355596738
386	0.2355034212
387	0.2354292428
388	0.2353632459
389	0.2352892832
390	0.2352535278
391	0.2352309763
392	0.2351854291
393	0.2351474002
394	0.2350954043
395	0.2350797163
396	0.2350115834
397	0.2349799182
398	0.2349210182
399	0.2348996621
400	0.2348432449
401	0.2347936234
402	0.2347381192
403	0.2346851973
404	0.2346423905
405	0.2345825765
406	0.2345190573
407	0.234491507
408	0.2344388558
409	0.2344026075
410	0.2343493269
411	0.234290462
412	0.2342316348
413	0.2341844849
414	0.2341534321
415	0.2341295149
416	0.2340925831
417	0.2340341485
418	0.2340017847
419	0.233978401
420	0.2339477317
421	0.2338928589
422	0.2338443079
423	0.2337952509
424	0.2337246566
425	0.2336812639
426	0.2336235546
427	0.2335779485
428	0.2335246134
429	0.2334515028
430	0.233408117
431	0.2333675989
432	0.2333238458
433	0.2332876724
434	0.2332712922
435	0.233204379
436	0.2331518969
437	0.2330903518
438	0.2330420637
439	0.2329895565
440	0.2329556669
441	0.2329240908
442	0.232830396
443	0.2328073359
444	0.2327444476
445	0.2326892655
446	0.2326378497
447	0.2325850683
448	0.2325329123
449	0.2324934408
450	0.2324374792
451	0.2324149872
452	0.2323518971
453	0.2322873205
454	0.2322175406
455	0.2321515071
456	0.2320926059
457	0.232073054
458	0.2320098452
459	0.2319637746
460	0.2319264308
461	0.2319058447
462	0.2318646568
463	0.2318143719
464	0.2317602623
465	0.2317174962
466	0.2316790643
467	0.2316077732
468	0.2315770104
469	0.231550492
470	0.231464586
471	0.2313950641
472	0.2313345873
473	0.2312676228
474	0.2312017825
475	0.2311519512
476	0.2311279007
477	0.2310757105
478	0.2310337925
479	0.2309633472
480	0.2309187797
481	0.2308172591
482	0.2307777517
483	0.2307479931
484	0.2307037524
485	0.2306242573
486	0.2305926357
487	0.2305332799
488	0.2304925103
489	0.2304384663
490	0.2303571585
491	0.230286
492	0.2302416096
493	0.2301946245
494	0.2301238337
495	0.2300892952
496	0.2300521096
497	0.2299980675
498	0.229945651
499	0.2299029598
500	0.2298627228
501	0.2298071528
502	0.2297713641
503	0.2297377671
504	0.2296925619
505	0.2296427642
506	0.2295912136
507	0.229547772
508	0.2294998334
509	0.2294545399
510	0.2294357272
511	0.2293895388
512	0.2293384501
513	0.2293089887
514	0.2292434558
515	0.2292061789
516	0.2291385991
517	0.229099129
518	0.2289980725
519	0.2289300049
520	0.2288988019
521	0.2288383211
522	0.2288051667
523	0.2287599548
524	0.2287241125
525	0.2286739685
526	0.2286346823
527	0.2285668486
528	0.2285328431
529	0.2284974984
530	0.2284319425
531	0.2283671154
532	0.228311358
533	0.2282471485
534	0.2281995065
535	0.2281449676
536	0.2280995094
537	0.228044138
538	0.2279988625
539	0.2279420109
540	0.2278927109
541	0.227853258
542	0.2277948701
543	0.2277490641
544	0.2276993257
545	0.2276603038
546	0.2276240921
547	0.2275796456
548	0.2275354728
549	0.227500351
550	0.2274582384
551	0.2274249846
552	0.2273704842
553	0.2273152622
554	0.2272416736
555	0.2271701645
556	0.2271192852
557	0.2270825098
558	0.2270507792
559	0.2269976036
560	0.2269534037
561	0.226913318
562	0.2268672317
563	0.2268329583
564	0.2268147961
565	0.2267739596
566	0.2267312709
567	0.2266823295
568	0.2266367337
569	0.2265870064
570	0.2265682558
571	0.2265243043
572	0.2264930609
573	0.2264578941
574	0.2264156584
575	0.2263620858
576	0.2263311911
577	0.226282792
578	0.2262470719
579	0.2262102958
580	0.226164374
581	0.2261171039
582	0.2260873148
583	0.2260485286
584	0.2260101991
585	0.2259479138
586	0.2259113938
587	0.2258738708
588	0.2258264515
589	0.2257900123
590	0.2257477692
591	0.2257222305
592	0.225675504
593	0.2256399351
594	0.2255837418
595	0.2255355421
596	0.225484367
597	0.2254520603
598	0.225391181
599	0.2253580096
600	0.2253069963
601	0.2252600457
602	0.225231666
603	0.2251915457
604	0.2251458001
605	0.2251002643
606	0.2250291772
607	0.2249879767
608	0.2249414117
609	0.2248881184
610	0.2248674279
611	0.2248331855
612	0.2247832474
613	0.2247269895
614	0.2246892324
615	0.2246651238
616	0.2246049339
617	0.2245859278
618	0.2245317657
619	0.2244903555
620	0.2244590938
621	0.2244133303
622	0.2243735976
623	0.2243273798
624	0.22428747
625	0.2242587265
626	0.2242243938
627	0.2241901555
628	0.2241513201
629	0.2241063665
630	0.2240540675
631	0.2240195238
632	0.2239934477
633	0.2239383898
634	0.2238778398
635	0.2238547243
636	0.223805839
637	0.2237836752
638	0.2237521136
639	0.2237014667
640	0.2236407339
641	0.223605652
642	0.2235648467
643	0.2235280541
644	0.2234839757
645	0.2234635961
646	0.2234110996
647	0.2233788074
648	0.2233516435
649	0.2233430792
650	0.2232764222
651	0.2232429921
652	0.2231970177
653	0.2231693914
654	0.223121695
655	0.2230835137
656	0.2230180185
657	0.2229661944
658	0.2229334124
659	0.2229090212
660	0.222864695
661	0.2228403464
662	0.222788534
663	0.2227464419
664	0.2226990425
665	0.2226516134
666	0.2226228184
667	0.2225975557
668	0.2225450125
669	0.2225287264
670	0.2224959856
671	0.2224522061
672	0.2224283056
673	0.2223833835
674	0.2223252577
675	0.2222801885
676	0.222221595
677	0.2221954466
678	0.2221642545
679	0.2221431636
680	0.2221165429
681	0.2220725148
682	0.2220419711
683	0.2220095924
684	0.222000092
685	0.2219480964
686	0.2219084076
687	0.2218502158
688	0.2218192034
689	0.2217765176
690	0.2217385596
691	0.2217254886
692	0.2216796795
693	0.2216336735
694	0.2216068966
695	0.2215902158
696	0.2215647992
697	0.221543409
698	0.2214990741
699	0.2214539059
700	0.2214048903
701	0.2213513022
702	0.2213189971
703	0.2212861067
704	0.2212117251
705	0.2211772015
706	0.2211364162
707	0.2211104337
708	0.2210455515
709	0.2209950387
710	0.2209693222
711	0.2209269316
712	0.2208866045
713	0.220838413
714	0.2207944404
715	0.22077303
716	0.2207578827
717	0.2207201773
718	0.2206890165
719	0.2206526908
720	0.2206109313
721	0.2205745523
722	0.2205393849
723	0.2205126566
724	0.2204871246
725	0.2204692975
726	0.2204447134
727	0.220429263
728	0.2203717761
729	0.2203424579
730	0.2202933785
731	0.2202606887
732	0.2202350262
733	0.2201802821
734	0.2201232498
735	0.2200649573
736	0.2200363618
737	0.2199859411
738	0.2199620243
739	0.2199362917
740	0.2198960035
741	0.2198599975
742	0.2198319855
743	0.2197801672
744	0.2197343712
745	0.2197115961
746	0.2196807685
747	0.2196503098
748	0.2196075122
749	0.2195693671
750	0.2195413814
751	0.2195009691
752	0.2194803013
753	0.2194412822
754	0.2194195688
755	0.2193810503
756	0.2193376106
757	0.2193130609
758	0.2192651257
759	0.2192296054
760	0.2191713962
761	0.2191491899
762	0.2191109739
763	0.2190859544
764	0.2190578292
765	0.219020219
766	0.2189917369
767	0.2189625448
768	0.2189239919
769	0.2188870961
770	0.21885233
771	0.2188273962
772	0.2187991395
773	0.2187542376
774	0.2187058926
775	0.2186766365
776	0.2186502429
777	0.2186204663
778	0.2185773096
779	0.218556053
780	0.2185159641
781	0.2184840892
782	0.2184506405
783	0.2184409444
784	0.218414541
785	0.2183633484
786	0.2183044134
787	0.2182778524
788	0.2182462551
789	0.2181973471
790	0.2181719322
791	0.2181008837
792	0.2180736238
793	0.2180190184
794	0.2179864832
795	0.2179553485
796	0.2179082243
797	0.2178751627
798	0.2178518032
799	0.2178327991
800	0.2177785528
801	0.2177177119
802	0.2176779468
803	0.2176288555
804	0.2175746732
805	0.2175481062
806	0.2175175046
807	0.2174655157
808	0.2174130368
809	0.2173948279
810	0.2173608623
811	0.2173206427
812	0.2172978149
813	0.2172748844
814	0.217235714
815	0.217202671
816	0.2171562504
817	0.2171271058
818	0.217096046
819	0.2170773641
820	0.2170347317
821	0.2169929332
822	0.2169219833
823	0.2168783397
824	0.2168574023
825	0.2168315464
826	0.2168072263
827	0.2167706518
828	0.2167489407
829	0.2167152558
830	0.216677171
831	0.2166157456
832	0.2165821486
833	0.2165462041
834	0.2165170616
835	0.2164748196
836	0.2164342516
837	0.2163907805
838	0.2163576131
839	0.2163288229
840	0.2162840779
841	0.2162679747
842	0.2162259072
843	0.2161867167
844	0.2161706757
845	0.2161475233
846	0.2161235127
847	0.2160978918
848	0.2160457718
849	0.2159794801
850	0.2159369956
851	0.2159082921
852	0.2158933471
853	0.2158760391
854	0.215856701
855	0.2158386842
856	0.2158142454
857	0.2157758543
858	0.2157625161
859	0.2157421443
860	0.2157252482
861	0.2156756523
862	0.2156419464
863	0.2156269561
864	0.2155921769
865	0.2155527544
866	0.2155290254
867	0.2154876978
868	0.2154714939
869	0.2154418848
870	0.2153944104
871	0.2153643776
872	0.2153356366
873	0.2152873021
874	0.2152551018
875	0.2152155431
876	0.2151819689
877	0.2151267225
878	0.2150937458
879	0.2150534357
880	0.2150264053
881	0.2149721527
882	0.2149218461
883	0.2148633478
884	0.2148269525
885	0.2147734331
886	0.2147529271
887	0.2147270877
888	0.2146917959
889	0.2146649728
890	0.2146282714
891	0.214611735
892	0.2145578384
893	0.2145466271
894	0.2145062405
895	0.2144722174
896	0.214405832
897	0.214357861
898	0.2143079631
899	0.2142790881
900	0.2142409854
901	0.2142090738
902	0.2141950823
903	0.2141566372
904	0.2141162166
905	0.2140739599
906	0.214036226
907	0.2139975148
908	0.2139447443
909	0.2139088986
910	0.2138970504
911	0.2138728323
912	0.2138472646
913	0.2138211431
914	0.2137861384
915	0.213753877
916	0.2137257945
917	0.2137171486
918	0.2136790022
919	0.2136506054
920	0.213613594
921	0.2135838065
922	0.2135413471
923	0.2135025912
924	0.213444559
925	0.213400873
926	0.2133456823
927	0.2133188784
928	0.2132844828
929	0.2132267311
930	0.2131640158
931	0.2131207947
932	0.2130587442
933	0.2130256579
934	0.212981418
935	0.2129518825
936	0.2129169194
937	0.212879763
938	0.2128506996
939	0.2128015825
940	0.2127673158
941	0.2127455047
942	0.212714338
943	0.2126862483
944	0.2126558863
945	0.2126100284
946	0.2125797412
947	0.2125612347
948	0.2125398147
949	0.2125135939
950	0.2124924857
951	0.2124573374
952	0.2124052995
953	0.2123846028
954	0.212354862
955	0.2123051426
956	0.2122869524
957	0.212241861
958	0.2121902996
959	0.2121751149
960	0.212108316
961	0.2120631141
962	0.2120372574
963	0.2119935558
964	0.2119743628
965	0.2119218818
966	0.2118901689
967	0.2118555563
968	0.2118285077
969	0.2118073624
970	0.2117728115
971	0.2117521521
972	0.2117102237
973	0.2116601113
974	0.2116021953
975	0.2115520291
976	0.2115156882
977	0.2114913885
978	0.211477385
979	0.2114494053
980	0.2114258698
981	0.2114037956
982	0.2113609949
983	0.2113379414
984	0.2112918733
985	0.211238516
986	0.211182744
987	0.2111579677
988	0.2111205503
989	0.2110947015
990	0.2110548769
991	0.2110391197
992	0.2110179911
993	0.2110015486
994	0.2109758029
995	0.2109482895
996	0.2109050616
997	0.210877768
998	0.2108428985
999	0.2107991547
